Tm,#Fld,RA/G,DefEff,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr,Rgood
Arizona Diamondbacks,49,3.98,.698,162,1458,1119,13167.0,6150,4389,1686,75,152,.988,29,3,125,7,14
Atlanta Braves,57,4.06,.709,162,1458,1166,13110.0,5889,4370,1439,80,134,.986,41,4,55,2,-1
Baltimore Orioles,56,5.51,.674,162,1458,1112,12879.0,5934,4293,1537,104,159,.982,-44,-4,-42,-2,-6
Boston Red Sox,43,3.99,.693,162,1458,1127,13128.0,5819,4376,1366,77,106,.987,24,2,15,0,-7
Chicago Cubs,50,3.96,.700,163,1467,933,13287.0,6208,4429,1675,104,155,.983,75,7,84,5,7
Chicago White Sox,51,5.23,.690,162,1458,1156,12933.0,5856,4311,1431,114,135,.981,-49,-5,-41,-4,-6
Cincinnati Reds,53,5.06,.685,162,1458,1084,12969.0,6026,4323,1608,95,144,.984,-30,-3,-16,0,1
Cleveland Indians,48,4.00,.688,162,1458,1064,13116.0,5808,4372,1353,83,123,.986,-15,-1,2,0,1
Colorado Rockies,41,4.57,.688,163,1467,1140,13071.0,6055,4357,1624,74,162,.988,37,3,39,1,3
Detroit Tigers,49,4.91,.694,162,1458,1205,12828.0,5799,4276,1428,95,126,.984,3,0,-21,-5,-14
Houston Astros,41,3.30,.705,162,1458,1014,13095.0,5797,4365,1369,63,116,.989,36,3,64,3,2
Kansas City Royals,49,5.14,.680,162,1458,1234,12888.0,5902,4296,1529,77,142,.987,-21,-2,-32,-1,-4
Los Angeles Angels,60,4.46,.693,162,1458,1083,12936.0,5890,4312,1502,76,173,.987,24,2,10,0,1
Los Angeles Dodgers,52,3.74,.698,163,1467,910,13284.0,5963,4428,1435,100,111,.983,8,1,57,1,6
Miami Marlins,51,5.02,.697,161,1449,980,12978.0,5857,4326,1448,83,133,.986,0,0,23,0,-2
Milwaukee Brewers,53,4.04,.704,163,1467,959,13149.0,5944,4383,1453,108,141,.982,58,5,123,5,0
Minnesota Twins,54,4.78,.682,162,1458,1137,12990.0,5881,4330,1454,97,127,.984,-29,-3,7,-3,-2
New York Mets,56,4.36,.691,162,1458,1136,13146.0,5876,4382,1406,88,121,.985,-38,-3,-31,0,2
New York Yankees,49,4.13,.684,162,1458,1155,13107.0,5807,4369,1344,94,95,.984,-52,-5,26,0,-8
Oakland Athletics,53,4.16,.717,162,1458,1116,13191.0,6080,4397,1594,89,125,.985,49,4,6,0,0
Philadelphia Phillies,48,4.49,.677,162,1458,1092,13011.0,5938,4337,1478,123,138,.979,-51,-5,-82,-4,-10
Pittsburgh Pirates,47,4.30,.686,161,1449,1136,12906.0,5884,4302,1477,105,129,.982,-15,-1,10,0,-11
San Diego Padres,49,4.73,.680,162,1458,1092,13113.0,6010,4371,1539,100,127,.983,-35,-3,32,1,1
Seattle Mariners,53,4.39,.691,162,1458,1099,13038.0,5920,4346,1486,88,152,.985,13,1,2,0,-1
San Francisco Giants,48,4.31,.692,162,1458,1111,13152.0,6086,4384,1605,97,160,.984,4,0,-5,-1,6
St. Louis Cardinals,49,4.27,.685,162,1458,1031,13098.0,6039,4366,1540,133,151,.978,-19,-2,-2,-2,0
Tampa Bay Rays,54,3.99,.708,162,1458,1101,13035.0,5913,4345,1483,85,136,.986,46,4,46,-2,-1
Texas Rangers,50,5.23,.682,162,1458,1149,12879.0,5971,4293,1558,120,168,.980,19,2,-41,-2,-3
Toronto Blue Jays,63,5.14,.678,162,1458,1116,12903.0,5849,4301,1447,101,138,.983,-60,-6,-54,0,-3
Washington Nationals,53,4.21,.703,162,1458,1077,13014.0,5765,4338,1363,64,115,.989,-4,0,2,0,4
League Average,46,4.45,.691,162,1459,1094,13047,5931,4349,1489,93,136,.984,0,0,12,0,-1
,1376,4.45,.691,4862,43758,32834,391401.0,177916,130467,44657,2792,4094,.984,6,0,361,0,-30